location;Code;Year;Executions;Meningitis;Alzheimer;Parkinson;Nutritional_deficiencies;Malaria;Drowning;Interpersonal_violence;Maternal_disorders;HIV/AIDS;Drug_use_disorders;Tuberculosis;Cardiovascular_diseases;Lower_respiratory_infections;Neonatal_disorders;Alcohol_use_disorders;Self-harm;Exposure_to_forces_of_nature;Diarrheal;Environmental_heat_and_cold_exposure;Neoplasms;Conflict_and_terrorism;Diabetes_mellitus;Chronic_kidney;Poisonings;Protein-energy_malnutrition;Terrorism;Road_injuries;Chronic_respiratory;Cirrhosis_and_other_chronic liver;Digestive;Fire_heat_and_hot_substances;Acute_hepatitis;covid_death
Dominican Republic;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;136.0
Dominican Republic;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1833.0
Denmark;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3204.0
Curacao;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89.0
Dominica;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estonia;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;662.0
Ethiopia;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1923.0
Czechia;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11594.0
Eritrea;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0
Cyprus;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;518.0
Ecuador;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10182.0
Eritrea;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73.0
Democratic Republic of Congo;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;591.0
Dominica;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.0
Europe;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;547720.0
Egypt;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14121.0
El Salvador;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1327.0
